star,date,HJD,teff,logg,feh,vsini,addmode,rv_meas,rv_meas_err,ccf,instrument,mcmc_logg,mcmc_rv,mcmc_rv_err,mcmc_teff,mcmc_vsini,filename,o2_rv,o2_rv_err,h2o_rv,h2o_rv_err,name,rv_lit,rv_lit_err,o_RV,eRV,wds_binary,sb9_binary,my_binary,separation,K1,known_binary
HIP 116805,2013-08-24,2456528.84317,11000,4.5,0.0,150,ml,-15.1972925732,0.706252913863,0.811436135252,TS23,3.36942087845,-16.1112965898,0.110698846717,9685.18538473,268.462009084,/home/kgullikson/School/Research/McDonaldData/20130824/HIP_116805.fits,-0.519030395613,0.115566393633,-0.256398709731,0.10239614655,HIP 116805,-12.7,0.8,2.0,0.6,1.0,0.0,0.0,115.300003052,,True
HIP 116971,2013-08-23,2456527.85646,11000,4.5,0.0,150,ml,-1.26950819898,0.357689921395,0.895406860046,TS23,3.97947867233,0.0421636388257,0.082250922541,10694.3596415,169.450277957,/home/kgullikson/School/Research/McDonaldData/20130823/HIP_116971.fits,-0.313907021322,0.0254732320881,-0.14751151002,0.0227211382036,HIP 116971,3.2,2.3,2.0,2.5,1.0,0.0,0.0,5.5,,True
HIP 117371,2013-10-21,2456586.67546,10000,4.5,0.0,150,ml,5.90083909032,0.441899443366,0.925225332151,TS23,3.25504133002,7.56896615212,0.0711796065857,9207.63219069,215.221799464,/home/kgullikson/School/Research/McDonaldData/20131021/HIP_117371.fits,-0.619934073917,0.0389352782256,-0.352967329253,0.0373063272199,HIP 117371,10.6,2.6,1.0,,0.0,0.0,0.0,,,False
HIP 118243,2013-10-18,2456583.74069,19000,3.5,0.0,150,ml,-10.2733397662,0.904694934723,0.626185940637,TS23,4.49999999998,-9.54331665543,0.0404519569736,25522.4550842,150.683689884,/home/kgullikson/School/Research/McDonaldData/20131018/HIP_118243.fits,-1.16128577648,0.0375557587307,-0.958001203493,0.03685095329,HIP 118243,-12.6,2.8,1.0,,1.0,0.0,0.0,3.09999990463,,True
HIP 118243,2013-10-18,2456583.74069,19000,3.5,0.0,150,ml,-10.2733397662,0.904694934723,0.626185940637,TS23,4.49999999998,-9.54331665543,0.0404519569736,25522.4550842,150.683689884,/home/kgullikson/School/Research/McDonaldData/20131018/HIP_118243.fits,-1.16128577648,0.0375557587307,-0.958001203493,0.03685095329,HIP 118243,-12.6,2.8,1.0,,1.0,0.0,0.0,105.699996948,,True
HIP 118243,2013-10-18,2456583.74069,19000,3.5,0.0,150,ml,-10.2733397662,0.904694934723,0.626185940637,TS23,4.49999999998,-9.54331665543,0.0404519569736,25522.4550842,150.683689884,/home/kgullikson/School/Research/McDonaldData/20131018/HIP_118243.fits,-1.16128577648,0.0375557587307,-0.958001203493,0.03685095329,HIP 118243,-12.6,2.8,1.0,,1.0,0.0,0.0,106.5,,True
HIP 12332,2014-01-20,2456677.53808,8000,3.5,0.0,150,ml,3.232250653,0.334469996487,0.939135855277,TS23,3.0,2.52008722487,0.0191064829999,7669.9684801,131.923656212,/home/kgullikson/School/Research/McDonaldData/20140120/HIP_12332.fits,-0.628900348417,0.0823272714537,-0.316382541154,0.0833298588542,HIP 12332,8.0,4.2,1.0,,0.0,0.0,1.0,,,True
HIP 12706,2013-10-19,2456584.86904,9000,4.5,0.0,150,ml,-7.33917145967,0.54307628044,0.900489334965,TS23,4.25731432761,-3.84788955669,0.0775339997723,8831.62666102,186.465808333,/home/kgullikson/School/Research/McDonaldData/20131019/HIP_12706.fits,-0.487602366539,0.0823169315433,-0.167367197879,0.0326934686348,HIP 12706,-4.9,0.9,2.0,0.2,1.0,0.0,1.0,1.89999997616,,True
HIP 12706,2013-10-19,2456584.86904,9000,4.5,0.0,150,ml,-7.33917145967,0.54307628044,0.900489334965,TS23,4.25731432761,-3.84788955669,0.0775339997723,8831.62666102,186.465808333,/home/kgullikson/School/Research/McDonaldData/20131019/HIP_12706.fits,-0.487602366539,0.0823169315433,-0.167367197879,0.0326934686348,HIP 12706,-4.9,0.9,2.0,0.2,1.0,0.0,1.0,843.099975586,,True
HIP 12719,2013-10-18,2456583.87955,18000,4.5,0.0,80,ml,11.5625316112,0.247549748592,0.851421702184,TS23,3.99723885074,6.93557497713,0.0315875036074,16998.2475959,108.939803855,/home/kgullikson/School/Research/McDonaldData/20131018/HIP_12719.fits,-0.758398775554,0.13421895119,-0.456877545809,0.102621180485,HIP 12719,,,,,0.0,,0.0,,8.80000019073,False
